"﻿"Country Name"";2023;Indicator Name
Guam ;8;Primary education, duration (years)                                                                     
Irela;8;Primary education, duration (years)                                                                     
Antig;7;Primary education, duration (years)                                                                     
Austr;7;Primary education, duration (years)                                                                     
Bhuta;7;Primary education, duration (years)                                                                     
Botsw;7;Primary education, duration (years)                                                                     
Domin;7;Primary education, duration (years)                                                                     
Denma;7;Primary education, duration (years)                                                                     
Grena;7;Primary education, duration (years)                                                                     
Icela;7;Primary education, duration (years)                                                                     
St. K;7;Primary education, duration (years)                                                                     
St. L;7;Primary education, duration (years)                                                                     
Lesot;7;Primary education, duration (years)                                                                     
Maldi;7;Primary education, duration (years)                                                                     
Mozam;7;Primary education, duration (years)                                                                     
Namib;7;Primary education, duration (years)                                                                     
Norwa;7;Primary education, duration (years)                                                                     
Eswat;7;Primary education, duration (years)                                                                     
Trini;7;Primary education, duration (years)                                                                     
Tanza;7;Primary education, duration (years)                                                                     
Ugand;7;Primary education, duration (years)                                                                     
St. V;7;Primary education, duration (years)                                                                     
Briti;7;Primary education, duration (years)                                                                     
South;7;Primary education, duration (years)                                                                     
Zambi;7;Primary education, duration (years)                                                                     
Zimba;7;Primary education, duration (years)                                                                     
Aruba;6;Primary education, duration (years)                                                                     
Afric;6;Primary education, duration (years)                                                                     
Afric;6;Primary education, duration (years)                                                                     
Angol;6;Primary education, duration (years)                                                                     
Andor;6;Primary education, duration (years)                                                                     
Arab ;6;Primary education, duration (years)                                                                     
Argen;6;Primary education, duration (years)                                                                     
Ameri;6;Primary education, duration (years)                                                                     
Burun;6;Primary education, duration (years)                                                                     
Belgi;6;Primary education, duration (years)                                                                     
Benin;6;Primary education, duration (years)                                                                     
Burki;6;Primary education, duration (years)                                                                     
Bahra;6;Primary education, duration (years)                                                                     
Baham;6;Primary education, duration (years)                                                                     
Beliz;6;Primary education, duration (years)                                                                     
Bermu;6;Primary education, duration (years)                                                                     
Boliv;6;Primary education, duration (years)                                                                     
Barba;6;Primary education, duration (years)                                                                     
Brune;6;Primary education, duration (years)                                                                     
Centr;6;Primary education, duration (years)                                                                     
Canad;6;Primary education, duration (years)                                                                     
Switz;6;Primary education, duration (years)                                                                     
Chile;6;Primary education, duration (years)                                                                     
China;6;Primary education, duration (years)                                                                     
Cote ;6;Primary education, duration (years)                                                                     
Camer;6;Primary education, duration (years)                                                                     
Congo;6;Primary education, duration (years)                                                                     
Congo;6;Primary education, duration (years)                                                                     
